raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn
101883,продукт молокосод сгущ с сах сгущенка с сах с араматом шоколад,Главпродукт,True,"ЗАО ""Верховский молочно-консервный завод""",250г,,,Продукт молокосод. сгущ. с сах. 250г «Сгущенка с сах. с араматом шоколад»  Главпродукт
129257,капуста по-корейски классическая,Не Бренд,True,"ООО ""Эхо""",1000г,,,Капуста по-корейски классическая «Белоручка» 1000г
119773,кальмар шинкованый сол/сушеный,Сухогруз,True,"ООО ""SnehkMaster""",70г,,пак.,"Кальмар шинкованый сол/сушеный, 70г Сухогруз пак."
80403,крупа рис отборный,Националь,True,"ООО""Ангстрем""",900г,,,Крупа Рис Отборный 900г Националь
56191,желудки куриные охл,Ярославский Бройлер,True,"ООО ""Ярославский Бройлер"", Россия",кг,,,Желудки куриные охл.Ярославский Бройлер. кг
200538,кофе зерно especialisimo арабика,О'КЕЙ,True,SURESTE PRODUCTOS HOSTELEROS,500г,100%,,Кофе ОКЕЙ зерно Especialisimo 100% Арабика 500г
168544,сельдь филе в масле традиционная,STANDARD,True,,240г,,,"Сельдь филе в масле Традиционная Любо есть, 240г VICI"
90296,яйцо куриное с1 халяль роскар,Не Бренд,,,,,10шт,Яйцо куриное С1 Халяль Роскар 10шт
46412,бедро цыпленка охл халяль,Приосколье,True,"ЗАО ""Приосколье"", Россия",кг,,,"Бедро цыпленка охл Халяль Приосколье, кг"
205614,крем творожный с кусочками зелени,Cremе Bonjour,True,ООО «Юнилевер Русь»,200г,,,Крем творожный Cremе Bonjour с кусочками зелени 200г
512391,сок active яблоко осв,Тонус,True,"""Лебедянский""",1.45л,,т/пак,Сок Тонус Active+ яблоко осв.1.45л т/пак
